Endpoint,Authentication,BODY Parameters,Description,ERROR responses,Method,PATH Parameters,QUERY Parameters,Resource,SUCCESS response,Status,Use Cases
GET /perfis-iluminacao/{id_perfil},Mandatory,N/A,Obtém os detalhes de um perfil de iluminação específico.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,id_perfil — mandatory,N/A,PERFIL_ILUMINACAO,"200 OK

{
""id_perfil"": 4,
""nome"": ""Noite"",
""hora_inicio"": ""20:00"",
""hora_fim"": ""06:00"",
""intensidade"": 40
}
",Not started,"UC1: Criar perfil de iluminação (https://www.notion.so/UC1-Criar-perfil-de-ilumina-o-1d4c18e679604daea514fbfec86cb6da?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
PATCH /perfis-iluminacao/{id_perfil},Mandatory,"nome
hora_inicio
hora_fim
intensidade",Atualiza parcialmente os dados de um perfil de iluminação.,"400 Bad Request
404 Not Found
401 Unauthorized
403 Forbidden",PATCH,id_perfil — mandatory,N/A,PERFIL_ILUMINACAO,"200 OK
{
  ""message"": ""Perfil atualizado com sucesso""
}",Not started,"UC1: Criar perfil de iluminação (https://www.notion.so/UC1-Criar-perfil-de-ilumina-o-1d4c18e679604daea514fbfec86cb6da?pvs=21), UC2: Aplicar perfil a poste (https://www.notion.so/UC2-Aplicar-perfil-a-poste-ad8a70ff883c45cb85a287ca360fbbc4?pvs=21)"
GET /perfis-iluminacao/{id_perfil}/postes,Mandatory,N/A,Lista todos os postes que utilizam um determinado perfil de iluminação.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,id_perfil — mandatory,N/A,PERFIL_ILUMINACAO,"200 OK

[
{
""id_poste"": 15,
""estado"": ""ativo"",
""intensidade_atual"": 70
}
]",Not started,"UC2: Aplicar perfil a poste (https://www.notion.so/UC2-Aplicar-perfil-a-poste-ad8a70ff883c45cb85a287ca360fbbc4?pvs=21), UC3: Aplicar perfil automaticamente (https://www.notion.so/UC3-Aplicar-perfil-automaticamente-6ba9d9bd5f17422bbb504291a8345311?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
GET /operadores/{id_operador},Mandatory,N/A,Obtém os detalhes de um operador específico.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,id_operador — mandatory,N/A,OPERADOR,"200 OK

{
""id_operador"": 8,
""nome"": ""João Silva"",
""email"": ""mailto:joao@empresa.com"",
""nivel_acesso"": ""operador"",
""ativo"": true
}",Not started,UC13: Gerir operadores (https://www.notion.so/UC13-Gerir-operadores-04f7b5ec75c24a1aac9c46b1ce84a656?pvs=21)
PATCH /operadores/{id_operador},Mandatory,"Todos opcionais:
• nome
• email
• password
• nivel_acesso
• ativo",Atualiza parcialmente os dados de um operador.,"400 Bad Request
404 Not Found
401 Unauthorized
403 Forbidden",PATCH,id_operador — mandatory,N/A,OPERADOR,"200 OK

{
""message"": ""Operador atualizado com sucesso""
}",Not started,"UC13: Gerir operadores (https://www.notion.so/UC13-Gerir-operadores-04f7b5ec75c24a1aac9c46b1ce84a656?pvs=21), UC20: Gerir utilizadores (https://www.notion.so/UC20-Gerir-utilizadores-02c1ebb8265c400e8b8be35379dea8a5?pvs=21)"
DELETE /operadores/{id_operador},Mandatory,N/A,Remove um operador do sistema.,"404 Not Found
401 Unauthorized
403 Forbidden",DELETE,id_operador — mandatory,N/A,OPERADOR,204 No Content,Not started,UC13: Gerir operadores (https://www.notion.so/UC13-Gerir-operadores-04f7b5ec75c24a1aac9c46b1ce84a656?pvs=21)
GET /niveis-acesso/{nivel}/operadores,Mandatory,N/A,Lista todos os operadores que possuem um determinado nível de acesso.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,nivel — mandatory,N/A,OPERADOR,"200 OK

[
  {
    ""id_operador"": 8,
    ""nome"": ""João Silva"",
    ""email"": ""joao@empresa.com""
  }
]",Not started,"UC13: Gerir operadores (https://www.notion.so/UC13-Gerir-operadores-04f7b5ec75c24a1aac9c46b1ce84a656?pvs=21), UC20: Gerir utilizadores (https://www.notion.so/UC20-Gerir-utilizadores-02c1ebb8265c400e8b8be35379dea8a5?pvs=21)"
GET /agendamentos-manutencao/{id_agendamento},Mandatory,N/A,Obtém os detalhes de um agendamento de manutenção específico.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,id_agendamento — mandatory,N/A,AGENDAMENTO_MANUTENCAO,"200 OK

{
  ""id_agendamento"": 22,
  ""data_manutencao"": ""2026-06-10"",
  ""descricao"": ""Substituição de lâmpada"",
  ""prioridade"": ""alta"",
  ""estado"": ""pendente"",
  ""id_poste"": 15
}",Not started,UC8: Agenda manutenção (https://www.notion.so/UC8-Agenda-manuten-o-b91378642b9c44229afc3a7628a7a68c?pvs=21)
PATCH /agendamentos-manutencao/{id_agendamento},Mandatory,"Todos opcionais:
• data_manutencao
• descricao
• prioridade
• estado
• id_poste
• id_lampada
• id_zona",Atualiza parcialmente os dados de um agendamento de manutenção.,"400 Bad Request
404 Not Found
401 Unauthorized
403 Forbidden",PATCH,id_agendamento — mandatory,N/A,AGENDAMENTO_MANUTENCAO,"200 OK

{
  ""message"": ""Agendamento atualizado com sucesso""
}",Not started,"UC8: Agenda manutenção (https://www.notion.so/UC8-Agenda-manuten-o-b91378642b9c44229afc3a7628a7a68c?pvs=21), UC15: Gerir avarias (https://www.notion.so/UC15-Gerir-avarias-c98d3c2417b4476eb4e82fcba0d67893?pvs=21)"
DELETE /agendamentos-manutencao/{id_agendamento},Mandatory,N/A,Remove um agendamento de manutenção do sistema.,"404 Not Found
401 Unauthorized
403 Forbidden",DELETE,id_agendamento — mandatory,N/A,AGENDAMENTO_MANUTENCAO,204 No Content,Not started,UC8: Agenda manutenção (https://www.notion.so/UC8-Agenda-manuten-o-b91378642b9c44229afc3a7628a7a68c?pvs=21)
GET /postes/{id_poste}/agendamentos-manutencao,Mandatory,N/A,Lista todos os agendamentos associados a um poste específico.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,id_poste — mandatory,N/A,AGENDAMENTO_MANUTENCAO,"200 OK

[
  {
    ""id_agendamento"": 22,
    ""data_manutencao"": ""2026-06-10"",
    ""descricao"": ""Substituição de lâmpada"",
    ""prioridade"": ""alta"",
    ""estado"": ""pendente""
  }
]",Not started,"UC8: Agenda manutenção (https://www.notion.so/UC8-Agenda-manuten-o-b91378642b9c44229afc3a7628a7a68c?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21), UC9: Gerir postes (https://www.notion.so/UC9-Gerir-postes-d91c22ff11b8405a8b9d8a70928ef798?pvs=21)"
POST /avarias,Mandatory,"id_poste — optional
id_lampada — optional
id_zona — optional
descricao — mandatory
severidade — mandatory (“baixa”, “media”, “alta”)
estado — optional (“pendente”, “em_resolucao”, “resolvida”)","Regista uma nova avaria associada a um poste, lâmpada ou zona.","400 Bad Request
401 Unauthorized
403 Forbidden",POST,N/A,N/A,AVARIA,"201 Created

{
  ""id_avaria"": 31,
  ""_links"": {
    ""self"": ""/avarias/31""
  }
}",Not started,"UC15: Gerir avarias (https://www.notion.so/UC15-Gerir-avarias-c98d3c2417b4476eb4e82fcba0d67893?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
GET /avarias/{id_avaria},Mandatory,N/A,Obtém os detalhes de uma avaria específica.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,id_avaria — mandatory,N/A,AVARIA,"200 OK

{
  ""id_avaria"": 31,
  ""descricao"": ""Lâmpada não acende"",
  ""severidade"": ""alta"",
  ""estado"": ""pendente"",
  ""id_lampada"": 12
}",Not started,UC15: Gerir avarias (https://www.notion.so/UC15-Gerir-avarias-c98d3c2417b4476eb4e82fcba0d67893?pvs=21)
DELETE /avarias/{id_avaria},Mandatory,N/A,Remove uma avaria do sistema.,"404 Not Found
401 Unauthorized
403 Forbidden",DELETE,id_avaria — mandatory,N/A,AVARIA,204 No Content,Not started,UC15: Gerir avarias (https://www.notion.so/UC15-Gerir-avarias-c98d3c2417b4476eb4e82fcba0d67893?pvs=21)
GET /postes/{id_poste}/avarias,Mandatory,N/A,Lista todas as avarias associadas a um poste específico.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,id_poste — mandatory,N/A,AVARIA,"200 OK

[
  {
    ""id_avaria"": 31,
    ""descricao"": ""Lâmpada não acende"",
    ""severidade"": ""alta"",
    ""estado"": ""pendente""
  }
]",Not started,"UC9: Gerir postes (https://www.notion.so/UC9-Gerir-postes-d91c22ff11b8405a8b9d8a70928ef798?pvs=21), UC7: Consultar lista de avarias (https://www.notion.so/UC7-Consultar-lista-de-avarias-d841af74607b400bba68dd81f72f4d6b?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
